( BACKUP FILE )
GeForce GTX 1050 Ti,511,475,410,381,342,474,496,502,461,475
GeForce GTX 1060 6GB,237,220,267,286,269,360,359,317,271,274
GeForce GTX 1070,23,24,284,307,270,366,377,344,242,286
GeForce GTX 1070 Ti,294,289,314,345,320,407,442,376,253,308
GeForce GTX 1080,282,271,295,340,282,422,441,365,237,311
GeForce GTX 1080 Ti,275,282,327,314,14,380,383,376,237,291
GeForce GTX 1660,307,311,347,366,352,438,449,402,289,344
GeForce GTX 1660 Super,257,253,290,324,310,401,375,348,325,293
GeForce GTX 1660 Ti,294,301,340,361,326,418,400,344,351,360
GeForce RTX 2060,303,293,358,371,331,408,445,368,300,364
GeForce RTX 2060 Super ,363,327,324,366,352,465,467,484,397,431
GeForce RTX 2070,272,280,316,352,310,425,412,367,331,349
GeForce RTX 2070 Super ,303,292,333,354,319,482,455,392,382,354
GeForce RTX 2080,424,431,419,389,375,458,466,437,296,321
GeForce RTX 2080 Super ,367,401,440,507,401,614,579,516,452,447
GeForce RTX 2080 Ti,372,382,363,406,415,534,577,482,372,448
GeForce RTX 3060,399,413,449,401,308,462,426,404,477,500
GeForce RTX 3060 ,301,315,345,401,308,462,425,400,384,388
GeForce RTX 3060 Ti,310,315,347,319,248,381,360,342,349,347
GeForce RTX 3070,302,305,350,310,250,373,342,330,340,339
GeForce RTX 3080,312,316,357,389,335,477,437,388,351,352
GeForce RTX 3090,360,367,410,473,381,540,526,453,403,415
Radeon R9 380 4GB,506,467,313,291,218,361,324,300,374,369
Radeon R9 Fury,350,291,296,311,240,402,371,356,279,306
Radeon RX 470 4GB,315,294,272,233,177,245,230,279,299,380
Radeon RX 480 8GB,232,231,252,292,265,348,312,310,261,256
Radeon RX 5500 XT 8GB ,260,263,294,335,302,480,457,434,379,375
Radeon RX 5600 XT,246,254,282,295,268,378,367,321,290,280
Radeon RX 5700,234,251,290,308,286,361,1924,314,266,268
Radeon RX 5700 XT,242,256,290,336,294,367,1924,319,276,269
Radeon RX 570 4GB,303,290,218,197,150,258,231,223,278,294
Radeon RX 580 8GB,218,212,246,281,26,339,330,290,261,257
Radeon RX 6700 XT,263,269,381,369,326,534,502,385,329,332
Radeon RX 6800,339,329,365,424,365,482,472,389,372,369
Radeon RX 6800 XT,335,335,371,404,357,496,457,427,365,362
Radeon RX 6900 XT ,367,387,420,481,439,675,666,650,510,506
Radeon RX Vega 56,240,238,228,192,150,240,219,210,277,270
Radeon RX Vega 64,237,230,226,185,148,221,204,184,258,263
Radeon VII,450,449,484,481,382,539,412,467,478,474
